from,to,reprLat,reprLong,title,timePeriodsKeys,featureTypes
266038,266520,36.734589,-3.690755,Sexi/Saxetanum,"archaic,classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
266038,182370603,36.734589,-3.690755,Sexi/Saxetanum,"archaic,classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
266038,428016814,36.734589,-3.690755,Sexi/Saxetanum,"archaic,classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
266039,266522,36.835734,-2.762919,Sierra de Gádor,"hellenistic-republican,roman",mine-2
266043,981510,38.645912,-4.518101,Sisapo?,"hellenistic-republican,roman,late-antique",settlement
266052,269561,39.150204,-0.43809,Sucro,"hellenistic-republican,roman",settlement
266053,266054,40.1254751,-2.1338651,Sucro (river),"hellenistic-republican,roman,modern",river
266054,266053,40.1254751,-2.1338651,Sucronensis Sinus,roman,water-open
266055,269540,36.525435,-4.628919,Suel,"archaic,classical,hellenistic-republican,roman,late-antique",settlement
266063,803793619,37.878103,-0.765831,Thiar,"hellenistic-republican,roman,late-antique",settlement
266066,256463,39.85668,-4.024491,Toletum,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern",settlement
266066,265847,39.85668,-4.024491,Toletum,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern",settlement
266066,744937022,39.85668,-4.024491,Toletum,"hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern",settlement
266071,632227173,39.568749,3.21062,*Tuci?,"roman,late-antique",settlement
266075,256058,37.4703045,-5.6464685,Turdetania (region),"hellenistic-republican,roman,late-antique","region, valley"
266076,266090,40.4051232,-1.7309516,Turia (river),"hellenistic-republican,roman,modern",river
266090,803793619,39.470371,-0.376813,Valentia,"hellenistic-republican,roman,late-antique","settlement, port"
266090,266076,39.470371,-0.376813,Valentia,"hellenistic-republican,roman,late-antique","settlement, port"
266090,265888,39.470371,-0.376813,Valentia,"hellenistic-republican,roman,late-antique","settlement, port"
266093,269538,37.626929,-3.538666,Vergilia,"roman,late-antique",settlement
266518,265876,39.5,-3.5,Untitled,"roman,late-antique",aqueduct
266520,266038,36.762144,-3.689824,Torrecuevas aqueduct,"roman,late-antique",aqueduct
266521,266036,39.8882167139,-2.81267426411,Untitled,"roman,late-antique",aqueduct
266521,266036,39.8882167139,-2.81267426411,Untitled,"roman,late-antique",aqueduct
266522,266039,36.5,-2.5,Untitled,"roman,late-antique",aqueduct
267272,256010,38.0330123,-4.0614776,Unnamed bridge at Isturgi on the Guadalquivir river,"roman,late-antique,modern",bridge
267272,265939,38.0330123,-4.0614776,Unnamed bridge at Isturgi on the Guadalquivir river,"roman,late-antique,modern",bridge
267279,256010,37.969207,-2.910335,Unnamed Bridge,"roman,late-antique",bridge
269538,265855,37.6415401533,-2.82063606076,Untitled,"roman,late-antique",road
269538,265849,37.6415401533,-2.82063606076,Untitled,"roman,late-antique",road
269538,266093,37.6415401533,-2.82063606076,Untitled,"roman,late-antique",road
269538,265765,37.6415401533,-2.82063606076,Untitled,"roman,late-antique",road
269546,266036,39.885321,-2.81302,Untitled,"roman,late-antique",road
269558,265920,39.6102665,-0.2210415,Untitled,"hellenistic-republican,roman,late-antique",road
269558,266018,39.6102665,-0.2210415,Untitled,"hellenistic-republican,roman,late-antique",road
269560,266025,39.7592886667,-2.63999766667,Untitled,"roman,late-antique",road
269560,266036,39.7592886667,-2.63999766667,Untitled,"roman,late-antique",road
269560,246352,39.7592886667,-2.63999766667,Untitled,"roman,late-antique",road
269561,265880,38.7441996667,-0.341959666667,Untitled,"hellenistic-republican,roman",road
269561,265922,38.7441996667,-0.341959666667,Untitled,"hellenistic-republican,roman",road
269561,266052,38.7441996667,-0.341959666667,Untitled,"hellenistic-republican,roman",road
269563,265834,39.95945,-4.834583,Untitled,"roman,late-antique",road
270296,265984,,,Althaia/Cartala,hellenistic-republican,settlement
270327,246322,,,Istonion,roman,unlocated
270339,246322,,,Libana,roman,unlocated
270340,265951,40.4072825,-1.4442792,Lobeton,"roman,mediaeval-byzantine,modern","unlocated, settlement-modern"
270345,265849,,,Mastia/Massia,"classical,hellenistic-republican",unlocated
270346,246322,,,Mediolon,roman,unlocated
270357,246322,,,Ouarada/Varciliens(...),roman,unlocated
270358,246322,,,Ourkesa,roman,unlocated
270370,256415,,,Salduba,roman,settlement
275577,275614,35.9,-5.283333,Abila M.,"classical,hellenistic-republican,roman,late-antique,modern",mountain
275614,256198,36.000038,-5.37113526667,Columnae Herculis,"archaic,classical,hellenistic-republican,roman",cape
275614,256045,36.000038,-5.37113526667,Columnae Herculis,"archaic,classical,hellenistic-republican,roman",cape
275614,275577,36.000038,-5.37113526667,Columnae Herculis,"archaic,classical,hellenistic-republican,roman",cape
275665,275730,35.25,-5.25,Laud (river),"roman,modern",river
275666,275667,35.199807,-6.11021,Lixus,"archaic,classical,hellenistic-republican,roman,late-antique",settlement
275666,35858006,35.199807,-6.11021,Lixus,"archaic,classical,hellenistic-republican,roman,late-antique",settlement
275667,845,35.1147428,-6.033041,Lixus (river),"archaic,classical,hellenistic-republican,roman,late-antique,modern",river
275667,275666,35.1147428,-6.033041,Lixus (river),"archaic,classical,hellenistic-republican,roman,late-antique,modern",river
275673,981533,34.0725,-5.5548,Mauretania Tingitana (region),"roman,late-antique",region
275673,275740,34.0725,-5.5548,Mauretania Tingitana (region),"roman,late-antique",region
275696,197483,34.0094561333,-6.82564536667,Sala,"hellenistic-republican,roman,late-antique,modern","settlement, cemetery"
275697,845,33.3972079986,-6.35600802933,Salat (river),"roman,modern",river
275703,275704,35.888245,-5.316583,Septem,"roman,late-antique,modern","settlement, port"
275704,256198,35.8989516,-5.4129554,Septem Fratres Montes,"roman,modern",mountain
275704,275703,35.8989516,-5.4129554,Septem Fratres Montes,"roman,modern",mountain
275730,275665,35.25,-5.25,Taenia Longa?,,cape
275738,277849,34.75,-5.75,Tremuli,"roman,late-antique",station
275740,275673,34.0725,-5.5548,Volubilis,"hellenistic-republican,roman,late-antique",settlement
277849,275738,34.75,-5.75,Untitled,roman,settlement
285482,295374,36.52285575,3.6414695,Mauretania Caesariensis,"roman,late-antique",province
285482,305142,36.52285575,3.6414695,Mauretania Caesariensis,"roman,late-antique",province
285491,1043,33.9528712,-3.5569907,Mulucha?/Malva? (river),"roman,modern",river
285491,846,33.9528712,-3.5569907,Mulucha?/Malva? (river),"roman,modern",river
285491,981533,33.9528712,-3.5569907,Mulucha?/Malva? (river),"roman,modern",river
285504,285522,35.29689,-1.46751,Portus Sigensis,"classical,hellenistic-republican,roman,late-antique","settlement, port"
285522,285504,35.2516991,-1.4248329,Siga (river),modern,river
29492,973441135,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,310679468,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,592698237,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,652445664,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,3456694,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,993239342,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
