id,title,timePeriods,size,score,type
406501931,Poulnabrone dolmen,43,2,1,circle
828393338,Capocorb Vell,2,2,1,circle
377811335,Noarus (river),R,2,1,circle
490307091,Tuscan Archipelago,M,9,1,circle
260940008,Beitin,RM,2,1,circle
367530812,Monte Nuxi,2,2,1,circle
781209675,Pecile at Hadrian's Villa,R,2,1,circle
864330772,Kasta tomb,HM,3,1,circle
345477552,Sepulcrum Hirtii,M,2,1,circle
345477553,Curiae Veteres,HR,2,1,circle
904615255,Gazandži (Kazana),T,2,1,circle
119022475,Potter's workshop,R,2,1,circle
198420713,Castellammare della Bruca,MM,2,1,circle
593460161,West House at Vasiliki,EM,2,1,circle
593460162,Grave Circle B,MLM,2,1,circle
593460163,Portara on Naxos,CLM,3,1,circle
483473194,Çatalhöyük,NM,2,1,circle
6521693551211800,Unnamed Place,YUNK,2,1,circle
645204823,Koukonesi,32M,2,1,circle
739961553,Esterzili,2,2,1,circle
946753455,So-called Oratory of Phalaris,RM,2,1,circle
540456066,Iberia (modern region/peninsula),M,5,1,circle
58858515,Theater of Zea,H,2,1,circle
89350791,Tower of the Winds,HRM,2,1,circle
300583267,Theatrum Marcelli,RLM,3,1,circle
267702570,Santi Giovanni e Paolo,LMM,3,1,circle
267702571,Clivus Scauri,RM,3,1,circle
445192365,Case Romane del Celio,R,2,1,circle
865664297,Basilica of San Clemente al Laterano,MM,2,1,circle
149683041,Mont'e Prama,2,2,1,circle
774886524,Kirkbride,R,2,1,circle
958275306,Agora of Corinth,ACHR,2,1,circle
236955527,Tagisken Plateau,M,4,1,circle
369907904,Roman arch at Capera,R,2,1,circle
690508611,Mithraeum at Vindovala,R,2,1,circle
690508612,Via Amerina,YUNK,11,1,circle
430827518,Janiculum,RM,4,1,circle
379689233,Piazza d'Oro at Hadrian's Villa,R,2,1,circle
379689234,Proposed location of Artulu 2 (Kayseri),E,2,1,circle
511547525,Garden and Pool Complex at Petra,R,2,1,circle
86419549,Temple of Claudius,RM,2,1,circle
10993281,Feliginates,R,2,1,circle
495763993,Untitled,R,2,1,circle
495763994,Untitled,RL,2,1,circle
495763995,Untitled,RL,2,1,circle
495763996,Untitled,RL,2,1,circle
495763997,Untitled,L,2,1,circle
495763998,Untitled,RL,2,1,circle
495763999,Untitled,RL,2,1,circle
164618008,Untitled,RL,2,1,circle
164618009,Untitled,RL,2,1,circle
164618010,Untitled,RL,2,1,circle
164618011,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618012,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618013,Untitled,R,2,1,circle
164618014,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618015,Unnamed Fortification on the Anastasian Wall,L,2,1,circle
164618016,Büyük Bedesten Wall Fort,L,2,1,circle
164618017,Untitled,R,2,1,circle
164618018,Untitled,R,2,1,circle
164618019,Untitled,RL,2,1,circle
164618020,Untitled,CH,2,1,circle
164618021,Untitled,R,2,1,circle
164618022,Untitled,R,2,1,circle
636076369,Mausoleum of Clesippus Geganius,R,3,1,circle
451696383,Subura,R,2,1,circle
175815320,Via Olevano Romano columbarium,R,3,1,circle
281701179,Mausoleo della Conocchia,RM,2,1,circle
280341406,Phylakopi,N2,2,1,circle
426309852,"Temple of Castor and Pollux, Cora",R,2,1,circle
466778575,Abu Ballas Trail,YUNK,5,1,circle
541950317,Theatrum Pompei,RM,3,1,circle
144291814,Zou,2M,2,1,circle
380086882,Maroni,2M,2,1,circle
264120821,Pass of the Alpes Graiae,YUNK,2,1,circle
141201,Untitled,RL,3,1,circle
141207,Untitled,RL,2,1,circle
141208,Untitled,RL,2,1,circle
141953,Fexitoialum,L,2,1,circle
141960,Primuliacum,L,2,1,circle
147985,Agatha,ACHRLM,2,1,circle
147990,Ambrussum,HRM,4,1,circle
147992,Andusia,HRM,2,1,circle
147993,Apta Iulia,RL,3,1,circle
147998,Arauris (river),HRM,3,1,circle
148020,Blasco Ins.,HRM,2,1,circle
148027,Cabellio,HRLM,2,1,circle
148033,Canteduc Roman Quarry,R,2,1,circle
148036,Carpentorate/*Forum Neronis,RLM,1,1,circle
148054,Col. Arausio,HRLM,5,1,circle
148056,Col. Baeterrae,HRLM,5,1,circle
148069,Druentia (river),HRLMT,4,1,circle
148076,Estel Roman Quarry,RM,2,1,circle
148081,Forum Domitii,HRLM,2,1,circle
148089,Gallicum Mare,M,5,1,circle
148092,Gaujac,CHRLM,2,1,circle
148093,Glanum,HRL,4,1,circle
148107,Lattara,CHRLM,4,1,circle
148110,Ledus (river),CLM,4,1,circle
148120,Lunel-Viel,HRL,2,1,circle
148134,Metapinum? Ostium,R,2,1,circle
148142,Nemausus,CHRLM,10,1,circle
148167,Rhodanousia,CHRM,2,1,circle
148168,Rhodanus (river),CHRLM,17,1,circle
148202,Sextantio,ACHRLM,3,1,circle
148209,Tarusco,R,3,1,circle
148211,Taurus/Volcarum Stagna,CHRM,4,1,circle
148217,Theline/Col. Arelate/Constantina,ACHRLM,4,1,circle
148222,Ucetia,RLM,2,1,circle
148223,Ugernum,ACHRLM,3,1,circle
148224,Ura Fons,RT,2,1,circle
148228,Vasio,CHRLM,1,1,circle
148236,Vindalium?,ACH,2,1,circle
148241,Vocontii,HR,2,1,circle
148242,Volcae Arecomici,HR,6,1,circle
148244,Vulgientes,HR,2,1,circle
148737,Unnamed aqueduct at Baeterrae,RL,2,1,circle
148738,Nîmes aqueduct,RL,5,1,circle
149492,Pont d'Ambroix,R,3,1,circle
149496,Pont du Gard,RLM,4,1,circle
149499,Pont Flavien,R,2,1,circle
149500,Pont Julien,R,2,1,circle
150247,Centuriation around Baeterrae,R,2,1,circle
150248,Untitled,H,2,1,circle
150249,Untitled,R,2,1,circle
150250,Untitled,R,2,1,circle
150251,Untitled,R,2,1,circle
150252,Untitled,R,4,1,circle
150254,Untitled,R,2,1,circle
157800,Alaunium,RL,2,1,circle
157802,Alb(i)um Intimilium/Albintimilium,CHRLMM,5,1,circle
157803,Album Ingaunum/Albingaunum,RM,4,1,circle
157805,Alebaece Reiorum Apollinarium/Apollinaris Reiorum/Reii,RLM,2,1,circle
157834,Cemenelum,HRLM,2,1,circle
157836,Col. Forum Iulii,HRLM,4,1,circle
157837,Costa Bellene/Ballene (Capo Don?),RLM,4,1,circle
157857,La Galère,H,2,1,circle
157858,Gallinaria (island),HM,3,1,circle
157861,Glanate,RL,2,1,circle
157870,Ingauni,HR,2,1,circle
157871,Intemelii,HR,2,1,circle
157874,Lero (island),HR,2,1,circle
157878,Ligusticum Mare,RM,8,1,circle
157879,Lucus Bormani,RL,2,1,circle
157906,Planasia/Lerina (island),HRL,2,1,circle
157907,Pomponiana?,HRL,2,1,circle
157912,Reii,HR,2,1,circle
138724250,*Kuzzurak,N,3,1,circle
41488940,Uargin,N,6,1,circle
713204842,Ad Duodecimum,L,3,1,circle
711765706,Via Statilia tombs,H,2,1,circle
680190213,Arch of Marcus Aurelius at Tripoli,R,2,1,circle
254082752,Temple of Talamonaccio,H,2,1,circle
751079112,Aetokremnos,NM,2,1,circle
559027219,"Unnamed dam near Jumilla, Spain",M,2,1,circle
115852119,Temple to Nefertari at Abu Simbel,NLM,2,1,circle
133577441,Camp celtique de la Bure,HRL,2,1,circle
912798,'Akkaz,CHR,3,1,circle
912803,al-Qusur,L,2,1,circle
912810,Arakia? (island),M,2,1,circle
912816,Babylonia,LANCAHRL,3,1,circle
912835,Dez/Hithite/Hudhud/Koprates? (river),M,3,1,circle
912837,Dilmun (region),ANCA,3,1,circle
912841,E-kara/Icarus (island),ACHRMM,4,1,circle
912845,Eridu,UCUCEAOMLANC,3,1,circle
912849,Euphrates (river),MMCUEA2O2MLMEEEANMCAHHRRRTLLLPEAMEKRCCOELM,37,1,circle
912851,Failaka/Tell Khazne,ACHR,2,1,circle
912855,[Girsu]/Tello(h),EACHRLM,2,1,circle
912868,Isin,ACH,1,1,circle
912872,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,HRL,2,1,circle
912879,Karun/Pasitigris? (river),M,3,1,circle
912881,Kharg,HRLM,2,1,circle
912897,Larsa,CUEAOMLANCAHHR,3,1,circle
912901,Marad,ANCH,1,1,circle
912905,Mesene/Characene/Shad Bahman/Maisan,RL,2,1,circle
912910,Nippur/Nufar/‘Hippareni’,MCUCE3EA2OMLANCAAHHRRLC,3,1,circle
912935,Shaur/Choaspes?/Eulaeus?/Uknu? (river),M,2,1,circle
905076845,"Roman walls, Novaria",R,2,1,circle
212270979,Daskalio,M,4,1,circle
305841487,Tomba della Medusa (Roma),RM,2,1,circle
179549802,Theater of Pyrrhus,HR,2,1,circle
341857013,Vasconum saltus,YUNK,2,1,circle
704495840,Enlil Gate,LENAHTT,6,1,circle
897449051,King's Gate,LENAHTT,5,1,circle
510139757,Šūhi Canal Gate,NAHTT,3,1,circle
124694415,Giššu Gate,NAHTT,3,1,circle
124694416,Sun of the Gods Gate,NAHTT,3,1,circle
133324175,Ešiddukišara,N,3,1,circle
774894386,Nuraghe S'Urachi,2EMACHRM,2,1,circle
486975583,Fossa Traiana,M,2,1,circle
445545537,Forum Iulium,R,3,1,circle
502004233,House of Sallust,HM,3,1,circle
134485260,tribus Esquilina,H,2,1,circle
489062160,House of the Small Fountain,HM,3,1,circle
236993544,Roman villa at Verige Bay,R,2,1,circle
540898685,Temple of Minerva Medica,RL,3,1,circle
926033983,Via Claudia Nova,YUNK,10,1,circle
552440217,Via Claudia Valeria,YUNK,7,1,circle
