source,target,type
236955527,20924741,type1
369907904,236405,type1
690508611,89315,type1
690508612,416789,type1
690508612,413133,type1
690508612,426634,type1
690508612,413224,type1
690508612,413125,type1
690508612,413172,type1
690508612,414506,type1
690508612,413012,type1
690508612,423116,type1
690508612,710429514,type1
430827518,423025,type1
430827518,432336962,type1
430827518,236701133,type1
379689233,423127,type1
379689234,17658595,type1
511547525,697725,type1
86419549,79393,type1
10993281,413360,type1
495763993,209137,type1
495763994,209137,type1
495763995,209137,type1
495763996,209137,type1
495763997,491686,type1
495763998,209142,type1
495763999,209142,type1
164618008,207245,type1
164618009,209142,type1
164618010,209142,type1
164618011,514912,type1
164618012,514912,type1
164618013,209138,type1
164618014,514912,type1
164618015,514912,type1
164618016,514912,type1
164618017,209138,type1
164618018,209138,type1
164618019,209142,type1
164618020,579907,type1
164618021,209138,type1
164618022,209138,type1
636076369,356966898,type1
636076369,432629,type1
451696383,423025,type1
175815320,423025,type1
175815320,622606468,type1
281701179,356966898,type1
280341406,570475,type1
426309852,422909,type1
466778575,736954,type1
466778575,776157,type1
466778575,786014015,type1
466778575,776172,type1
541950317,423025,type1
541950317,165546433,type1
144291814,589748,type1
380086882,707498,type1
264120821,167637,type1
141201,138248,type1
141201,167717,type1
141207,138329,type1
141208,138329,type1
141953,138329,type1
141960,138650,type1
147985,150248,type1
147990,834876934,type1
147990,149492,type1
147990,150250,type1
147992,148242,type1
147993,148244,type1
147993,834876934,type1
147998,167703,type1
147998,148089,type1
148020,1043,type1
148027,148069,type1
148033,148142,type1
148054,28521919,type1
148054,150254,type1
148054,150252,type1
148054,413823808,type1
148056,148242,type1
148056,148737,type1
148056,150247,type1
148056,977841705,type1
148069,148168,type1
148069,54430875,type1
148069,148027,type1
148076,149496,type1
148081,834876934,type1
148089,1043,type1
148089,147998,type1
148089,148211,type1
148089,148168,type1
148092,79684535,type2
148093,342732941,type2
148093,819897603,type2
148093,390299655,type2
148107,148110,type2
148107,148211,type2
148107,148242,type2
148110,148211,type2
148110,148202,type2
148110,148107,type1
148120,834876934,type2
148134,148168,type2
148142,148242,type2
148142,148738,type2
148142,356648400,type2
148142,439736210,type2
148142,432394421,type2
148142,439736209,type2
148142,241034493,type2
148142,148033,type2
148142,353133531,type2
148167,150251,type2
148168,148089,type2
