id,title
48210385,Borgo Medievale
48210386,Tempio Grande at Vulci
265876,Consabura/Consabrum
265877,Contestania (region)
265878,Cueva de la Paloma
265880,Dianium/Hemeroskopeion
265882,Ebura
265883,Ebusus
265884,Ebusus (island)
265886,Edeba
265887,Edeta/Leiria
265888,Edetania (region)
265890,Elche de la Sierra
265891,Eliocroca?
265893,Epora
265894,Etobesa/Etouissa?
265896,Roman Villa at El Faro (Torrox)
265897,Ferrarium/Tenebrium (promontory)
265898,Ficariensis Locus?
265899,Fortuna
265900,Fraxinum?
265901,Fuente de Baños
265902,Fuente de la Pañuela
265903,Fuente de las Piedras
265905,Giribaile
265906,Guium?
265914,Hoyo de la Campana
265916,Iamo/Iamna
265917,(I)Aspis
265919,Igabrum/Egabrum
265920,Ildum
265921,Iliberri
265922,Ilici/Helike
265923,Ilicitanus Sinus
265924,Iliturgi
265925,Iliturgicola
265926,Illikitanos Limen
265927,Ilorci
265928,Ilounon?
265929,Ilugo
265930,Ilurco
265932,Iniesta
265935,Ipolcobulcola
265936,Iponuba/Hippo Nova
265937,*Ipsca
265938,I(p)tuci
265939,Isturgi
265943,Jumilla
265945,El Laderón
265946,Laminium
265948,Letrania
265949,Libisosa
265950,Linares
265951,Lobetanoi
265952,Longuntica
265954,Lucentum
265955,Luque
265957,Macael
265958,Maenuba (river)
265959,Maenuba/Menova
265960,Mago
265961,Mainake
265963,Malaca
265964,Malaca (river)
265965,Mariana
265966,Marianus (mountain range)
265967,Marruca
265969,Mentesa
265970,Mentesa Bastia
265973,Montoro-Andújar
265974,Monturque
265975,Morana
265977,Murgi
265982,Obulco
265983,Ocules
265984,Olcades?
265985,Onuba
265987,*Opta
265988,Oretana Iuga
265989,Oretania/Oretani
265990,Oretum
265992,Orospeda? M.
265994,Ossigi
265996,Pago de Bruñel
265997,El Palacio
265998,Palma
265999,Parietinae
266000,Paulenca
266001,Pityussae (islands)
266002,Planesia? Ins.
266003,Plaza de Armas
266004,Pollentia
266005,Portos Magnos
266006,Portus Sucronis
266008,Puente del Obispo
266009,Puente de la Olmilla
266010,Pujol de Benicató
266012,Río Golopón
266013,Rojales
266014,Rubielos de Mora
266015,El Ruedo
266017,Sacili
266018,Saetabis
266019,Saetabis? (river)
266020,Sagunto
266021,Saguntum/Arse
266022,Salaria?
266023,Salika?
266025,Saltigi
266026,Sanisera
266027,S. Cristo
266029,S. Tomé
266030,Saturni/Scombraria Pr.
266032,Scombraria (island)
266034,Sebelaci
266035,Segisa?
266036,Segobriga
266037,Selambina
266038,Sexi/Saxetanum
266039,Sierra de Gádor
266040,Sierra Elvira
266043,Sisapo?
266044,El Solao
266046,Solorius M.
266047,Sorobis (river)
266048,*Sosontigi
266049,Soto de Roma
266050,Spartarius? Campus
266051,(S)Ucia
266052,Sucro
266053,Sucro (river)
266054,Sucronensis Sinus
266055,Suel
266057,Tader (river)
266058,*Tagili
266059,Tagonios (river)
266061,Las Tamujas
266063,Thiar
266065,Fábrica de Armas
266066,Toletum
266067,Torre de la Cruz
266068,Los Torrejones
266069,Totana
266070,Tucci/Col. Augusta Gemella
266071,*Tuci?
266072,Tugia
266073,Tugiensis Saltus
266074,Turaniana
266075,Turdetania (region)
266076,Turia (river)
266078,*Tutugi
266081,Ucubi/Col. Claritas Iulia
266082,Udiva? (river)
266085,Urci?
266086,Urcitanus Sinus
266087,Urgao/Vircao
266090,Valentia
266091,La Valenzoleja
266092,Valeria
266093,Vergilia
266094,Vicus Cuminarius
266095,El Villar
266096,Villarrodrigo
266097,Viniolae?
266099,Vi(v)atia
266517,Untitled
266518,Untitled
266519,Untitled
266520,Torrecuevas aqueduct
266521,Untitled
266522,Untitled
266523,Untitled
266524,Untitled
266525,Untitled
266526,Untitled
267272,Unnamed bridge at Isturgi on the Guadalquivir river
267273,Untitled
267274,Untitled
267275,Untitled
267276,Untitled
267277,Puente de Cañete
267278,Untitled
267279,Unnamed Bridge
267280,Untitled
267281,Untitled
267282,Untitled
267283,Puente Mocho (río Guadalimar)
267284,Untitled
267285,Untitled
268027,Untitled
268028,Untitled
268029,Untitled
268782,Untitled
268783,Untitled
268784,Untitled
268785,Unnamed ancient dams 
268786,Untitled
268787,Untitled
268788,Untitled
268789,Untitled
268790,Untitled
268791,Untitled
269537,Untitled
269538,Untitled
269539,Untitled
269540,Untitled
269541,Untitled
269542,Untitled
269543,Untitled
269544,Untitled
269545,Untitled
269546,Untitled
269547,Untitled
269548,Untitled
269549,Untitled
269550,Untitled
269551,Untitled
269552,Untitled
269553,Untitled
269554,Untitled
269555,Untitled
269556,Untitled
269557,Untitled
269558,Untitled
269559,Untitled
269560,Untitled
269561,Untitled
269562,Untitled
269563,Untitled
269564,Untitled
270292,Adiungi
270293,Aimiliana
270294,Alternum/Alterum/Asterum
270295,Alternia
270296,Althaia/Cartala
270297,Amtorgis
270298,Andura
270301,Barnakis
270303,Beleia
270304,Bergoula
270305,Bernaba
270306,Bigerra/Begerra
270310,Celeret/Celeri
270311,Cusubi/Casuli
270313,Egelesta
270314,Egelesta
270316,Hannibalis
270317,Helonis/Helo
270318,Hyops
270320,Ibe/Ide
270321,Icositani
270323,Ilarkouris
270324,Ileosca
270325,Ilourbida
270326,Ispinon
270327,Istonion
270329,Kallikoula
270330,Karka
270331,Kerouaria
270332,Krabrasia
270334,Laccuris
270335,Lassira/Lersensis Res Publicae
270336,Lauro
270337,Laxta
270339,Libana
270340,Lobeton
270341,Loupparia
270342,Lyco
270344,Martium Ucia/Ucia
270345,Mastia/Massia
270346,Mediolon
270347,Mellaria
270348,Menariae
270349,Meterkosa
270350,Molybdina
270352,Nobila
270355,Oinoussa
270356,Orkelis
270357,Ouarada/Varciliens(...)
270358,Ourkesa
270360,Pallantia (river)
270361,Paterniana
270362,Plumbaria
270363,Poukialia
270365,Ripa
270367,"S. Martini, Mon."
270368,Saitabikoula
270369,Salaria Bastetana/Salaria
270370,Salduba
270371,Salduba
270373,Soricaria
270374,Sucaelo/Siccaenum
270376,Tiquadra
270377,Tourboula
270380,Ulissi/Ulisi/Odyssea
270381,Urbiaca
270382,Urgapa
270384,Valebonga
270386,Vescelia
271047,Alebus
271048,Barbetium Iugum
271049,Berybraces
271050,Crabrasiae Iugum
271051,Gymnetes
271052,Herna
271053,Hiberi
271054,Hylactes Civitas
271055,Hystra Civitas
271056,Ilerda
271057,Libyphoenices
271058,Malacha/Malaca
271059,Malachae
271060,Massiena Urbs
271061,Massieni
271062,Menace
271063,Minervae
271064,Naccararum Palus
271065,Namnatius Portus
271066,Noctilucae
271067,Phoenices
271068,[Pityussa] Iugum/Cautes
271069,Sardum Mare
271070,Sarna Civitas
271071,Sicana Civitas
271073,Silurus M.
271074,Strongyle
271075,Theodorus (river)
271076,Trete Iugum
271077,Tyris
271078,Tyrius
271079,Veneris Fanum
271080,Veneris Iugum
271081,Veneris Litus
275577,Abila M.
275578,el Adeb
275579,Ad Mercuri?
275580,Ad Novas?
275581,Ain Dalia
275582,Ain el Hajaj
275583,Ain el Hammam
275584,Ain Kerma
275585,Ain Mesbah
275586,Ain Schkour
275587,Ain Skhoun
275588,Ain Taslalet
275590,Aquae Dacicae
275591,Aquila Maior Pr.
275592,Aquila Minor Pr.
275593,Arbaoua
275594,Asilah
275596,Autololes/Autoteles
275599,Banasa
275600,Baniurae?
275601,Baquates
275602,Barbari Pr.
275603,el Benian
275604,Beni Said
275605,Lalla Sfia
275606,Bou Hellou
275607,Bou Rebaa
275608,Briej
275613,Cephisis
275614,Columnae Herculis
275615,Cottae?
275617,Dar bel Amri
275618,Dar Dqios
275619,Dar Sied
275620,Djouima
275621,Douar Naasa
275623,Emsa
275624,Ermaia Akra
275626,Ferme Biarnay
275627,Ferme Priou
275628,Fghaina
275629,Frigidae
275631,el Gaada
275632,Gadadra
275634,Gandori
275635,el Gour
275637,Hafra Ennaga
275639,Heras? (island)
275640,Heras? (island)
275641,Hjar Zerbotta
275646,Jebel bou Draa
275647,Jouima
275650,Kaunoi
275651,Khedis
275652,Kitzan
275653,Kouass
275654,Koudia Aicha
275655,Koudia bou Mimoun
275656,Koudia es Souma
275657,Koudia Fergana
275658,Krimda
275659,Ksar es Sghir
275661,Lalla Aicha
275662,Lalla Yto
275663,Lalla Ghannama
275664,Lalla Rhano
275665,Laud (river)
275666,Lixus
275667,Lixus (river)
275669,Maatga
275670,Macenites
275671,el Marsa
275672,Masikes
275673,Mauretania Tingitana (region)
275674,Maurusii
275675,Mechra Sfa
275677,Merja Touila
275678,Mestroila
275679,Metagonitai
275680,Mezgalef
275681,MM18
275682,Mogogha
275683,Mzora
275685,Oppidum Novum
