id,title
149500,Pont Julien
150247,Centuriation around Baeterrae
150248,Untitled
150249,Untitled
150250,Untitled
150251,Untitled
150252,Untitled
150254,Untitled
157800,Alaunium
157802,Alb(i)um Intimilium/Albintimilium
157803,Album Ingaunum/Albingaunum
157805,Alebaece Reiorum Apollinarium/Apollinaris Reiorum/Reii
157834,Cemenelum
157836,Col. Forum Iulii
157837,Costa Bellene/Ballene (Capo Don?)
157857,La Galère
157858,Gallinaria (island)
157861,Glanate
157870,Ingauni
157871,Intemelii
157874,Lero (island)
157878,Ligusticum Mare
157879,Lucus Bormani
157906,Planasia/Lerina (island)
157907,Pomponiana?
157912,Reii
138724250,*Kuzzurak
41488940,Uargin
713204842,Ad Duodecimum
711765706,Via Statilia tombs
680190213,Arch of Marcus Aurelius at Tripoli
254082752,Temple of Talamonaccio
751079112,Aetokremnos
559027219,"Unnamed dam near Jumilla, Spain"
115852119,Temple to Nefertari at Abu Simbel
133577441,Camp celtique de la Bure
912798,'Akkaz
912803,al-Qusur
912810,Arakia? (island)
912816,Babylonia
912835,Dez/Hithite/Hudhud/Koprates? (river)
912837,Dilmun (region)
912841,E-kara/Icarus (island)
912845,Eridu
912849,Euphrates (river)
912851,Failaka/Tell Khazne
912855,[Girsu]/Tello(h)
912872,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
912879,Karun/Pasitigris? (river)
912881,Kharg
912897,Larsa
912905,Mesene/Characene/Shad Bahman/Maisan
912910,Nippur/Nufar/‘Hippareni’
912935,Shaur/Choaspes?/Eulaeus?/Uknu? (river)
905076845,"Roman walls, Novaria"
212270979,Daskalio
305841487,Tomba della Medusa (Roma)
179549802,Theater of Pyrrhus
341857013,Vasconum saltus
704495840,Enlil Gate
897449051,King's Gate
510139757,Šūhi Canal Gate
124694415,Giššu Gate
124694416,Sun of the Gods Gate
133324175,Ešiddukišara
774894386,Nuraghe S'Urachi
486975583,Fossa Traiana
445545537,Forum Iulium
502004233,House of Sallust
134485260,tribus Esquilina
489062160,House of the Small Fountain
236993544,Roman villa at Verige Bay
540898685,Temple of Minerva Medica
926033983,Via Claudia Nova
552440217,Via Claudia Valeria
570444075,Roman amphitheater at Aeclanum
970563462,Crypt and church of San Lussorio
87882504,Madānu Canal Gate
452758807,Egišhurankia
452758808,Ebursasa
979483544,Vicus Victoris
43496934,Ara della Regina
43496936,Roman baths at Vertillum
141033380,Great City Baths at Salona
609762511,Temple of Seti I
438960368,Temple of Ramesses II
218039420,Aliphera sanctuary
534059885,Theater of Cyrene
9547769,Phourni
9547770,Sklavokampos
229935391,Nuraghe Su Valsu
100447491,Pons Neronianus
419380619,Meta Sudans
712477008,Mount Kedros
712477009,Thrypti
422724245,Torre Caetani
514380156,Sanctuary of Montélu
936919090,Roman castrum at Pyrgi
467476385,Dinka Settlement Complex
649361735,Ferresanus Portus
852463484,Nuraghe Su Casteddu
835247251,Nuraghe Bruncu Maduli o Bruncu Madugui 
409654967,Melone del Sodo
266589967,Amphitheater of Durrës
330348886,Poggio Gramignano villa romana
330348887,Villa Redenta
330348888,"Orticello, Spello"
850888151,Linguella Roman villa
177059114,Great Palace of Constantinople
629429885,Sultanahmet Camii
24547396,Boothby Roman fort
24547397,Nether Denton Roman fort
612970100,Villa of L. Crassius Tertius
773379957,"Cala Minnola, Levanzo, Province de Trapani"
463738468,So-called Grotta Fragapane
375591100,Temple of Athena at Paestum
865200669,Forum of Paestum
416452801,Lake Tana
442917179,Panagia Aggeloktisti
354112,Fauces Garamanticae
354115,Garama Metropolis
363931,Austuriani
364021,Tautamei?
373732,Apollonia/Sozousa
373750,Barke
373757,Berenice
373777,Cyrenaica (region)
373778,Cyrene
373780,Darnis
373861,Nasamones
373868,Paliouros
373870,Phaia
373874,Plateia
373875,Plateia? Ins.
373879,Ptolemais/Barkes Limen
375997,Untitled
376001,Cyrene - Apollonia Road
383543,Addua (river)
383544,Ad Figlinas
383547,Ad Fonteclos
383556,Ad Tarum
383562,Agunia (river)
383564,Alba Pompeia
383568,Amalune (river)
383570,Andes
383574,Aquae Statiellae
383578,Augusta Bagiennorum
383579,Augusta Praetoria
383580,Augusta Taurinorum
383584,Bedriacum
383587,Benacus (lake)
383589,Bergomum
383590,Betuctelum? (river)
383602,Brixellum
383603,Brixia
383609,Canalicum
383618,Clastidium
383620,Clesus (river)
383624,[Comacina] (island)
383626,‘Comeli magus’
383628,Cremona
383633,Dertona
383635,Duria (Bautica) (river)
383636,Duria (river)
383642,Eporedia
383645,Eupilis L.
383648,Fidentia
383649,Florenti(ol)a
383661,Gabellus/*Secia (river)
383664,Genua
383668,Hadra (river)
383670,Hasta
383676,Incia (river)
383678,Insubres
383680,Iria/Forum Iulii Iriensium
383681,Ir(i)a (river)
383682,Iria (river)
383686,Lambrus (river)
383689,Larius/Comacinus L.
383691,Laus Pompeia
383694,Libarna
383698,Liguria (region)
383704,Mantua
383706,Mediolan(i)um
383708,Mincius (river)
383715,Mutina
383717,Novaria
383718,Nure (river)
383721,Ollius (river)
383722,Olonna (river)
383723,Orgus (river)
383729,Pagus Ambitrebius
383737,Parma
383738,Parma (river)
383740,Pedo(na)
383741,Placentia
383745,Pollentia
383749,Porcibera (river)
383755,Regium Lepidum
383758,Ricina
383763,Sabini
383777,Sesites (river)
383781,Sirmio
383783,Statielli
383790,Tanarus (river)
383791,Tannetum
383793,Tarus (river)
383798,Ticinum
383799,Ticinus (river)
383801,Transpadana
383802,Trebia (river)
383804,Trident(i)um
383808,Vada Sabatia
383811,Veleia
383814,Verbanus L.
383815,Vercellae
383816,Verona
383820,Victoriolae
383821,Victumulae
383824,Vitricium
384297,Unnamed Roman aqueduct at Eporedia
384299,Unnamed aqueduct at Augusta Bagiennorum
384301,Unnamed aqueduct at Alba Pompeia
384304,Untitled
385053,Unnamed bridge at Lévérogne
385055,Untitled
385056,Pont-Saint-Martin (bridge)
385057,Unnamed bridge at Bard
385058,Unnamed bridge
385061,Roman bridge at Clastidium
385065,Unnamed bridge
385067,Unnamed bridge
385807,Untitled
385808,Untitled
385809,Untitled
385810,Untitled
385811,Untitled
385812,Untitled
385813,Untitled
385814,Untitled
385815,Untitled
385816,Untitled
385817,Untitled
385819,Untitled
385820,Untitled
385821,Untitled
385822,Untitled
385825,Untitled
385838,Untitled
385842,Untitled
387319,Carystum
39271,Adouli
39272,Adoulitikos Kolpos
39274,Aethiopia
39281,Alalaiou (islands)
39290,Arabicus Sinus/Erythr(ae)um/Rubrum Mare
39298,Astapous (river)
39303,A(u)xoume
39305,Aualites Sinus
39308,Azanium Mare/Barbarikon Pelagos
39315,Bracheia/Prasodes Thalassa
39318,Camarum (island)
39330,Chelonitis (island)
39335,Deire
393362,Ad Idicem
393368,Ad Rubiconem
39337,Devade Islands
393370,Ad Silarum
393371,Ad Sinnium
393372,Aemilia
393374,Altinum
393378,Aprusa (river)
393379,Ariminum
39338,Diosko(u)rides (island)
393380,Ariminus (river)
393381,Astagus (river)
393383,At(h)esis (river)
393385,Atrianorum Paludes
393387,Auraei
393389,Bedesis (river)
393390,Boi(i)
393396,Cadianum
393397,Caesena
393400,Castello del Tartaro
393404,Classis
393405,Claterna
393408,Compitum ad Confluentes
393420,Faventia
393421,Felsina/Bononia
393424,Forum Cornelii
393425,Forum Gallorum
393426,Forum Livii
393427,Forum Popilii
393434,*Hadriani
393436,(H)Atria
393438,Hostilia
393441,Iulia Concordia
393446,Liquentia (river)
39345,Exusta/Katakekaumene Inss.
393450,Meduacus Maior (river)
393459,Opitergium
393467,Ostium Volane
393469,Padus/Eridanus (river)
393470,Padusa
393473,Patavium
393475,Plavis (river)
393480,Ravenna
393482,Retron (river)
393483,Rhenus (river)
393484,Rubico (river)
39349,Hippalon Pelagos
393490,Sapis (river)
393492,Scultenna (river)
393493,Septem Maria (Station)
393494,Septem Maria (Po River Delta)
393495,Silarus (river)
393496,Silis (river)
393498,Spina
39350,Homeritai
393503,Tarvisium
393510,Vatrenus (river)
393513,Vicetia
393516,Vicus Varianus
393517,Vitis? (river)
39352,Indicum Mare
39361,Kinnamomophoros Chora
39362,Kokkonatou (islands)
39376,Malichou islands
39379,Mari(a)ba
39399,Notou Keras/Aromata Pr.
39404,Oreine (island)
39409,Ptolemais Theron
39410,Pyraloi (islands)
394113,Unnamed aqueduct at Vicetia
394116,Ravenna Aqueduct
39423,Sap(p)har
682305779,Nuraghe Unia
755162813,Amphitheater of Anazarbos
755162814,Phaneromeni Burials (Chiliomodi)
755162815,Roman Mausoleum at Palio Scholeio (Chiliomedio)
584889481,"Temple of Hera, Olympia"
813654446,Choragic Monument of Lysicrates
26249986,Nuraghe Armungia
93478894,Ponte Brabaciera
93478895,Matzanni
508356079,Jebel Barkal
800131926,Inveravon
229277207,Civitas Leonina
550787,Ophryneion
550798,Palaio Pretorio
550799,Palaiokhori
550803,Parakoila
550809,Pelinnaion M.
550812,Pergamum
550816,Petra
550818,Phalakrai
550819,Phanai
550820,Phanai Pr.
550822,Philadelpheia
550823,Phocaea
550825,Phonias
550826,Phrikonis
550827,Phrygios (river)
550828,Phyrites (river)
550829,Pidasos (river)
550833,Pitane
550835,Plagia
550837,Platy Bounari
550841,Por(d)oselene/Nasos
550845,Psyra
550846,Psyra (island)
550848,Pteleos L.
550851,Pyrra
550856,Rhoiteion
550864,Sandalium? (island)
550866,Sardianon Pedion
550867, Sardis/Hyde?
550871,Scamander (river)
550875,Selles
550877,Sigeion
550883,Simoeis (river)
550885,Skala Polykhnitou
550886,Skala ton Loutron
550890,Skepsis
550891,Skoteino
550892,Smintheion
550893,Smyrna/Eurydikeia
550898,Stratonicaea/Hadrianopolis
550902,Tantalos M.
550905,Tarti
550908,Temnos
550911,Tenedos
550912,Tenedos (island)
550913,Teos
550915,Tes Kores to Gephyri
550923,Thymiana
550924,Thyateira
550929,Thymbras Pedion
550930,Thymbrios (river)
550942,Traron
550943,Trianta
550944,Troas (region)
551154,Untitled
551156,Roman Aqueduct at Mytilene
551781152,Ain el-Sabil
551910,Unnamed bridge
552678,Untitled
552679,Sardis-Thyateira Road
553423,Untitled
553426,Untitled
554178,Aigiroessa
554190,Apolloniacharax
554191,Ardynion
554250,Karseai/Karseis/Kerasai/Kerateis
554258,Kleandria
554280,Mernouphyta
554294,Oios ho Hermaites
554307,Pedasos
554310,Philetaireia
554343,"Zeus Hyperdexios, T."
560221,Aegaeum Mare
560230,Aigila/Ogylos (island)
560353,Cyclades Islands
560670,Palaiokastro
570028,Achaea/Achaia (region)
570033,Ag. Eirene
570035,Ag. Helene
570036,Ag. Ioannes
570038,Ag. Kyriake
570040,Aigai
570043,Aigeira
570049,Aigion
570059,Akrokorinthos
570065,Alipheira
570067,Alphe(i)os (river)
570074,Amyklai
570081,Angathia
570096,"Apollo Korythos, T."
570098,Arachnaion (mountain)
570101,Araxos
570102,Arcadia
570103,Argolicus Sinus
570104,Argolis
570106,Argos
570112,Aroania (mountain)
570122,Asea
570123,Asinaeus/Coronaeus Sinus
570127,Sanctuary of Asklepios at Epidauros
570132,Aspis (island)
570148,Bassai
570150,Belbina (island)
570157,Bolinaios (river)
570175,Chelonatas Sinus
570180,Corinthia
570181,Corinthiacus Sinus
570182,Corinthus/Korinthos
570184,Cyllenius Sinus
570185,Cyparissius Sinus
570186,Cythera (island)
570197,Dine
570198,Diolkos
570202,Dorion
570205,Dyme
570224,Emborio
570227,Ephyra? (island)
570228,Epidauros
570229,Epidauros Limera
570248,Eurotas (river)
570255,Gatheai
570256,Gatheatas? (river)
570258,Geraistos
570259,Geraistos Pr.
570262,Geronteon (mountain)
570274,Halieis
570289,Heraion (Argolis)
570293,Hierakia (island)
570299,Hydroussa/Hydrea (island)
570310,Ichthys Pr.
570314,Ioulis
570315,Ipnoi? M.
570316,Isthmia
570317,Isthmos
570318,Ithome M.
570325,Kalaureia (island)
348371058,Polonnaruwa
449007780,House of the surgeon
629225363,Aphrodite sanctuary at Lokroi Epizephyrioi
204528069,Centocamere at Lokroi Epizephyrioi
378979377,Cistern
328100889,Tomb of Caius Cartilius Poplicola
694364581,Catacombs of Trypiti
990568323,Roman theater at Tlos
894727084,Vicus Censorius
502577470,Temple E at Selinus
502577471,"Temple of Demeter at the Sanctuary of Demeter Malophoros, Selinus"
502577472,"Roman amphitheater at Guildhall, London"
569006287,Roman amphitheater at Paestum
689046103,Roiate
195092807,Pyramid of Cestius
226302607,Sep. Eurysacis
748146994,Coastal Tower 16b (Old Mawbray)
288445158,Nazzano Romano
750203268,Erechtheion
354239692,Basilica and convent of S. Ippolito
354239693,So-called Caesareum of Cyrene
421330490,Temenos of Athena
963047542,Ramesseum
90720956,Eshnunna
662332233,Aqua Augusta (Naples)
662332234,Hellenistic-Roman theater at Sarno
24736652,Poggio del Molino
237645058,Dún Ailinne
947227732,Qasr al-Abd at Tyrus
303354808,Upper Chambers at Kalhu
584375361,Sceilg Mhichíl
729310593,"Villamassargia, Nuraghe di Santu Pauli"
729310594,Su Carroppu
769742546,Vicus sandalarius
151473899,Necropolis of Ponte Messato
229670928,Via Ciminia
673471798,Compitum Acilii
713767971,Mahabodhi Temple
210745099,Stadium of Delos
762647722,Anmurru
319432673,Kammanu/Meliddu (kingdom)
129678075,Tabālu (region)
944349914,Hilakku (region)
944349915,Que (kingdom)
303882989,Sam'alla (kingdom)
795920320,Tablis
792436981,Tomb of Publius Vesonius Phileros 
796289136,Saqqarah
853662205,Exomvourgo
645513764,Tawern Roman temple complex
434822371,Roman theater at Cádiz
663803333,Arco de los Blanco
364712046,Harbor at Lechaion
818633083,Terrace of the Lions at Delos
55417173,Church of the Acheiropoietos
74062405,Church of St. Nicholas Orphanos
687957706,Castellaccio di Capo Ripa
347507191,Roman amphitheater at Carmo
580732678,Alcázar del rey Don Pedro
534036732,Re-Buried Hellenistic Temple and Workshops
453093030,City gate at Patara/Arsinoe
65323470,Bouleuterion
302942693,Jaén
171953680,Villa of Agrippa
236087657,Son Bou Basilica
340380318,House of the Ara Maxima
387880487,House of Trebius Valens
83055,Untitled
83056,Untitled
834296,Rha/Attila (river)
834876934,Via Domitia
837,Asia Minor
83868,Moridunum
844847,Abonouteichos/Ionopolis
844856,Amastris/Sesamos
844857,Amnias (river)
844877,Billaios (river)
844879,Bithynion/Claudiopolis/Hadriana
844888,Cappadox? (river)
844914,Elaios (river)
844926,Gangra
844944,Heraclea
844957,Iustiniani Pons
844962,Kales (river)
844988,*Kobara
844991,Krateia/Flaviopolis/*Agrippeia?
845,Atlanticus Oceanus
845006,Lykos (river)
845013,Mariandynoi
845014,Mariandynus Sinus
845034,Paphlagonia (region)
845041,Pompeiopolis/Sebaste
845049,Prusias ad Hypium/Kieros
845603,Untitled
846,Atlas Mon(te)s
847112,Untitled
854666,Apatouros Kolpos
854675,Cimmerius Bosp(h)orus
854696,Kimmerikon
854700,Korokondamitis/Opissas Limne
854710,Myrmekion
854711,Myrmekion Pr.
854715,Nymphaion
861854258,Ain el-Gedida
862,Baetica
863734,Albanum Mare
863735,Albanos (river)
863737,Alontas (river)
413823808,Triumphal Arch of Orange
877549424,Theater of Pergamon
628342669,"Church of the Saviour, Thessaloniki"
664535672,Church of Saint Panteleimon
332324145,"Gyaur-Kala, Merv"
332324146,"Hagia Sophia, Thessaloniki"
614184896,Valle dei Templi
450863545,Scheggia Pass
614844,Syreanos
614851,Tautaendia
614870,Trikomia 3
619103,Ancyra
619104,Andabalis
619114,Arg(ai)os Mons
619163,Gallograecia (region)
619164,Garsaura/Col. Claudia Archelais/Koloneia
619267,Taouion/Tabia
619275,Trokmoi
619280,Villa Palmati
620612,Untitled
622144,Karissa
622153,Laskoria/Lassora
622156,Mithridation
622165,Oukena/Oukaina
622169,Posdala
622171,Rastia
622180,Tetrapyrgia
624813669,Mut el-Kharab
628923,Anisa
628924,Antitaurus Mons
628932,Argaeus (mountain)
628934,Ariaratheia
628936,Armenia Minor
628949,Cappadocia (region)
628963,Dascusa
628982,Gauraina
628989,(H)Erp(h)a
629008,Kiakis
629009,[Kiskisos]
629019,Kouloupene (region)
629022,Kurtlu Tepe
629040,Melitene
629068,Sargarausene (region)
629075,Sebasteia/Megalopolis?/Talaura?
629076,Sebastopolis/Herakleopolis/Karana?
629083,Skylax (river)
629106,Zimara
629678,Unnamed bridge
630430,Unnamed road
630437,Untitled
631240,Pisingara
638748,Antiochia ad Maeandrum
638749,Antiphellos/Habesos
638753,Aphrodisias
638758,Apollonia/Mordiaion/Sozopolis
638776,Aspendos/Primoupolis
638778,Attalea
638792,Boubon
638796,Caunus
638799,Chelidoniae (islands)
638800,Chelidonium Pr./Hiera Akra/Tauri Pr.
638804,Cibyra
638811,Colossae
638836,Eurymedon (river)
638860,Hierapolis
638868,Ilyas
638915,Kestros (river)
638931,Kolybrassos
638938,Korydela (island)
638948,Kyaneai
638955,Laodicea ad Lycum/Diospolis/Roas
638958,Letoon
638961,Limyra
638965,Lycia
638967,Lycus (river)
638988,Megiste
638989,Megiste (island)
638990,Melanippeia? (island)
638993,Melas (river)
638995,Milyadeis
638996,Milyas (region)
