from,timePeriodsKeys
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29492,"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
29517,"classical,hellenistic-republican,roman,late-antique"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295279,"classical,hellenistic-republican,roman,late-antique,modern"
295314,twenty-first-ce
295363,"classical,hellenistic-republican,roman,roman-early-empire-late-antique,late-antique"
295363,"classical,hellenistic-republican,roman,roman-early-empire-late-antique,late-antique"
295374,"hellenistic-republican,roman"
29573,"classical,hellenistic-republican,roman,late-antique"
29573,"classical,hellenistic-republican,roman,late-antique"
295962,roman
29621,"roman,modern,twenty-first-ce"
29621,"roman,modern,twenty-first-ce"
29621,"roman,modern,twenty-first-ce"
29630,"late-antique,modern"
296720,"roman,late-antique"
29677,
29677,
29677,
29677,
29677,
29677,
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
29713,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
