source,target
157802,157837
157802,158555
157802,507729266
157802,157871
157803,162337
157803,507729266
157803,157870
157805,157912
157836,520858710
157836,246534016
157836,165979068
157837,157879
157837,507729266
157837,157802
157857,157929
157858,157878
157858,157878
157861,157942
157878,157935
157878,288204133
157878,383749
157878,362185575
157878,157858
157878,403226
157878,1043
157907,157929
138724250,129678075
138724250,944349914
41488940,549905270
41488940,359593043
41488940,628982
41488940,907036116
41488940,319432673
713204842,98967
713204842,98921
711765706,423025
680190213,344456
254082752,403280
751079112,707498
559027219,265943
115852119,721417202
133577441,109307
912798,912837
912798,29713
912803,912841
912810,29713
912816,417249577
912816,785376781
912835,912879
912835,912879
912837,912798
912837,574183541
912841,912851
912841,912803
912841,29713
912845,912849
912845,202833934
912849,494566507
912849,413309738
912849,674270
912849,266535322
912849,874721
912849,923122730
912849,223856812
912849,893928
912849,874355
912849,704495840
912849,17634131
912849,279761117
912849,912986
912849,912845
912849,457651161
912849,445186090
912849,893951
912849,481573620
912849,893990
912849,767486703
912849,92607494
912849,658465
912849,703315102
912849,897717
912849,752688395
912849,658473968
912849,541602250
912849,945906723
912849,945906724
912849,658562
912849,912964
912849,856859069
912849,54136919
912849,54136920
912849,633091640
912849,633091639
912849,89975947
912851,912841
912855,202833934
912872,912905
912879,29713
912879,29713
912881,912810
912897,477553842
912897,175425813
912910,897225061
912910,288695456
912935,912964
905076845,383717
212270979,560353
212270979,560221
305841487,423025
179549802,530843
341857013,246728
704495840,893951
704495840,633091640
704495840,912849
704495840,202833933
704495840,897225060
897449051,893951
897449051,633091638
897449051,202833933
897449051,897225060
510139757,893951
510139757,722340789
124694415,893951
124694415,722340789
124694416,893951
124694416,722340789
133324175,893951
133324175,89975947
774894386,472014
486975583,423080
445545537,423025
445545537,502866838
502004233,433032
502004233,984330151
134485260,423025
489062160,433032
489062160,984330151
236993544,197459
540898685,423025
540898685,423560
926033983,413260
926033983,413142
926033983,413152
926033983,413046
926033983,552440217
926033983,432886
926033983,413175
926033983,413247
926033983,413013
552440217,413182
552440217,413039
552440217,413105
552440217,413237
552440217,413333
552440217,926033983
570444075,442451
970563462,471947
87882504,893951
87882504,722340789
452758807,893951
452758807,633091640
452758807,202833933
452758807,633091638
452758808,893951
452758808,633091640
979483544,423025
43496934,413332
43496936,177656
141033380,197488
609762511,756512
438960368,756512
218039420,570065
534059885,373778
9547769,589748
9547769,953163789
9547770,589748
229935391,472014
100447491,423080
100447491,423025
419380619,423025
712477008,589748
712477009,589748
422724245,771725842
422724245,423025
514380156,138275
936919090,433061
936919090,433061
467476385,512491137
467476385,191267779
649361735,39337
852463484,472014
835247251,472014
409654967,413106
266589967,481818
330348886,413185
330348887,413320
330348888,413170
850888151,403222
177059114,773739435
177059114,520998
177059114,307220778
629429885,177059114
24547396,506349985
24547397,506349985
612970100,432992
773379957,462428
463738468,462086
375591100,442733
865200669,442733
416452801,39298
442917179,707498
354115,354116
363931,344420
364021,373861
364021,344428
373732,589166546
373732,305199887
373732,465308593
373732,321867660
373732,244211030
373732,876619726
373732,876619727
373732,190648274
373732,373778
373750,373777
373757,989143586
373757,989143587
373757,304296863
373757,789856351
373757,388037672
373757,375997
373778,529754544
373778,312715518
373778,372376094
373778,248782117
373778,373732
373778,103565779
373778,464482220
373778,163905085
373778,534059885
373778,778145952
373778,778145953
373778,357884165
373778,354239693
373778,376001
373780,716589
373868,716595
373870,716595
373874,373875
373879,490374098
373879,885142066
373879,375997
375997,373879
375997,373757
383543,393469
383544,788760849
383547,66908841
383556,383793
383556,66908841
383562,393469
383564,383790
383564,383790
383568,393469
383570,383708
383574,383783
383578,427981474
383578,384299
383578,383698
383578,383790
383579,437204184
383579,179717289
383579,310024671
383579,179717291
383579,136661131
383580,385812
383580,866917580
383580,385808
383580,385811
383580,393469
383584,788760849
383589,966985945
383590,383635
383590,383635
383602,393469
383603,417977726
383603,740044370
383603,444468888
383609,502042016
383609,507729266
383618,788760849
383618,788760849
383620,393469
383624,383689
383626,788760849
383628,393469
383628,788760849
383633,384304
383633,385822
383633,788760849
383633,507729266
383633,502042016
383635,385053
383635,385057
383635,383590
383635,393469
383636,393469
383642,385810
383642,384297
383648,136661131
383648,66908841
383649,66908841
383661,393469
383664,502042016
383664,788760849
383668,393469
383670,502042016
383676,383791
383676,385067
383680,788760849
383680,383682
383681,393469
383681,393469
383682,393469
383682,393469
383686,383645
383686,393469
383694,788760849
383698,403235
383698,403177
383698,383578
383698,362185575
383704,788760849
383704,383708
383706,585690562
383706,537979353
383706,585690561
383706,383801
383706,383678
383708,383570
383708,383704
383708,393469
383715,385842
383715,393390
383715,396382
383715,66908841
383717,385821
383717,905076845
383717,767629308
383718,393469
383718,393469
383721,393469
383722,383686
383723,393469
383737,66908841
383737,66908841
383738,393469
383741,196750886
383741,502042016
383741,788760849
383741,507729266
383741,66908841
383749,157878
383755,66908841
383755,66908841
383758,502042016
383777,393469
383781,383587
383781,383587
383783,383574
383783,387319
383790,383578
383790,383564
383790,393469
383791,383676
383793,393469
383793,393469
383798,66908841
383799,383814
383801,383706
383802,393469
383802,393469
383804,393383
383804,688514720
383808,507729266
383815,383821
383815,385817
383816,648728999
383816,391761931
383816,24441049
383816,333004588
383816,771445424
383816,788760849
383816,393383
383820,66908841
383821,383815
383824,385057
383824,385055
384297,383642
384299,383578
384301,383564
384304,383633
385053,383635
385055,383824
385056,383590
385057,383824
385057,383635
385058,383681
385061,383618
385065,383718
385067,383676
385807,383653
385808,383580
385809,383611
385810,383642
385811,383580
385812,383580
385813,383740
385814,383745
385815,383745
385816,383740
385817,383815
385819,383680
385820,383651
385821,383717
385822,383633
385825,383691
385838,383704
385842,383715
387319,383783
39271,39290
39272,39290
39272,39290
39281,39290
39290,786060
39290,786069
39290,727101
39290,39376
39290,39409
39290,594456491
39290,290587550
39290,40043
39290,785972
39290,39271
39290,39272
39290,39281
39290,39305
39290,39318
39290,39330
39290,39337
39290,789002572
39290,746700
39290,746701
39290,746744
39290,746813
39290,39345
39290,39352
39298,727172
39298,727172
39303,39274
39303,39274
39305,39290
39305,39352
39308,84624811
39308,39315
39308,39410
39308,39352
39315,39308
39315,39352
39318,39290
39330,39290
39335,479353527
393362,66908841
393368,393484
393368,910399260
39337,39290
39337,39290
393370,66908841
393371,66908841
393372,910399260
393374,932949218
393378,1004
393379,967100965
393379,368355544
393379,856514595
393379,910399260
393379,66908841
393379,393380
39338,39362
393380,1004
393383,383816
393383,383804
393383,1004
393385,393494
393385,1004
393387,788760849
393390,393421
393390,383715
393396,788760849
393397,393490
393404,910399260
393404,1004
393404,393470
393404,393480
393405,66908841
393420,66908841
393421,393390
393421,196750886
393421,66908841
393421,458593872
393421,587811162
393424,66908841
393424,66908841
393425,66908841
393426,393517
393427,436403
393427,396393
393427,66908841
393434,910399260
393434,393467
393436,932949218
393436,910399260
393438,688514720
393441,788760849
393441,932949218
393446,1004
39345,39290
393450,1004
393459,393475
393459,1004
393459,788760849
393469,393492
393469,383620
393469,383628
393469,383636
393469,383661
393469,383668
393469,383681
393469,383682
393469,383686
393469,383708
393469,383718
393469,383721
393469,383723
393469,383738
393469,383777
393469,383790
393469,383793
393469,383802
393469,383562
393469,383543
393469,383635
393469,383568
393469,383580
393469,383602
393469,167636
393469,1004
393469,393494
393469,167966
393470,910399260
393470,393404
393470,393480
393470,393494
393473,932949218
393475,1004
393475,1004
393480,393404
393480,122702818
393480,344182764
393480,344182765
393480,529754545
393480,73180225
393480,51062012
393480,394116
393480,861709371
393480,910399260
393480,393470
393483,393510
393483,393495
393483,1004
393490,394868
393490,393397
393490,1004
393492,393469
393493,393494
393494,393493
393494,393498
393494,910399260
393494,393385
393494,393469
393494,393470
393494,1004
393495,393483
393498,1004
393498,393494
393498,910399260
39350,746710
39350,746710
393503,393496
393510,393483
393513,393482
393513,393381
393513,788760849
393516,66908841
393517,393426
393517,413201
39352,50118
39352,39290
39352,60022
39352,642557317
39352,39305
39352,39308
39352,39315
39352,50592
39352,59718
39352,39362
39352,50178
39352,59851
39352,29713
39352,49903
39352,59733
39361,39399
39362,900159789
39362,420878173
39362,900159787
39362,39352
39362,39349
39376,39290
39404,39272
39409,39290
39410,39308
394113,393513
394116,393480
394116,393389
39423,39350
682305779,472014
755162813,658378
755162814,570711
755162815,570711
584889481,570531
813654446,579885
26249986,472014
93478894,472014
93478895,472014
508356079,579500116
508356079,805634
800131926,91357
229277207,423025
550787,550944
550798,550693
550799,550696
550803,550696
550809,550497
550812,877549424
550812,117689032
550812,550459
550812,2604669
550812,923431995
550812,146849991
550812,30893806
550812,177302800
550812,837
550812,550759
550816,550696
550818,550592
550819,550497
550819,550497
550820,550497
550822,837
550823,735295266
550823,837
550823,550406
550823,177302800
550825,550696
550826,550683
550826,550506
550826,837
550827,550829
550827,550575
550828,550492
550829,550827
550833,550406
550833,177302800
550835,550696
550837,550696
550841,550567
550845,550846
550846,560221
550846,560221
550848,550944
550851,550696
550856,550944
550867,552679
550867,552678
550867,177302800
550867,351685830
550871,550883
550871,550930
550871,550944
550871,501434
550875,550696
550877,550944
550877,550871
550883,550871
550885,550696
550886,550696
550890,550944
550891,550696
550892,550565
550892,550944
550893,837
550893,550771
550898,837
550898,599665
550902,550696
550905,550696
550908,550406
550908,177302800
550911,550912
550912,560221
550912,560221
550913,735295266
550913,550597
550913,837
550913,177302800
550915,550497
550923,550497
550924,554280
550924,837
550924,552679
550924,177302800
550929,550930
550930,550871
550930,550871
550942,550944
550943,550696
550944,550398
550944,550401
550944,550434
550944,550486
550944,550890
550944,550595
550944,501334
550944,550942
550944,501481
550944,550500
550944,550871
550944,554258
550944,550609
550944,897256486
550944,550892
550944,550856
550944,501570
550944,550547
550944,550546
550944,550661
550944,550463
550944,550877
550944,210709924
550944,550772
550944,550848
550944,550544
550944,550658
550944,550787
550944,501359
550944,550565
550944,501364
550944,269449175
550944,550594
550944,550433
550944,501393
550944,550633
550944,550678
550944,550685
550944,837
551154,550595
551781152,776172
551910,550575
552678,550585
552678,550867
552679,550867
552679,550924
553423,550665
553426,550866
554178,550406
554190,864488325
554190,351685829
554191,550920
554250,177302800
554258,550944
554280,177302800
554280,550924
554294,550497
554307,550870
554310,550592
554310,177302800
554343,550696
560221,589761
560221,589892
560221,491682
560221,589797
560221,550492
560221,589800
560221,550497
560221,501629
560221,589806
560221,837
560221,550575
560221,579931
560221,550611
560221,599868
560221,550691
560221,589841
560221,550696
560221,589846
560221,570495
560221,599944
560221,589868
560221,599588
560221,599656
560221,808255902
560221,599667
560221,599668
560221,550846
560221,590002
560221,501365
560221,599951
560221,599952
560221,599673
560221,550912
560221,589952
560221,570654
560221,589958
560221,589961
560221,599967
560221,599726
560221,570475
560221,560230
560221,560353
560221,540929
560221,599755
560221,501434
560221,590012
560221,599761
560221,590031
560221,570103
560221,550730
560221,448145857
560221,590067
560221,599822
560221,590074
560221,599830
560221,599764
560221,570227
560221,981509
560221,599880
560221,570293
560221,570299
560221,599896
560221,599792
560221,589693
560221,599477
560221,599887
560221,589741
560221,589742
560221,272860363
560221,579888
560221,1043
560230,560670
560230,560221
560353,599484
560353,286572422
560353,599498
560353,589797
560353,570403
560353,599979
560353,590044
560353,599588
560353,589868
560353,599645
560353,286572421
560353,589892
560353,599919
560353,599673
560353,599974
560353,589958
560353,599708
560353,599715
560353,218806479
560353,590002
560353,590012
560353,212270979
560353,590047
560353,599808
560353,590067
560353,599822
560353,590074
560353,599868
560353,570348
560353,589693
560353,599642
560353,808255902
560353,560221
560670,560230
570028,570700
570028,570040
570028,570576
570028,570415
570028,570577
570033,570348
570035,570475
570036,570475
570038,570475
570040,570028
570043,104777482
570049,104777482
570059,570182
570067,570577
570067,1046
570074,73644851
570074,172198383
570081,570475
570096,570577
570098,570104
570098,570532
570101,570577
570102,570530
570102,570535
570102,570598
570102,570707
570102,570112
570102,570122
570102,570444
570102,570450
570102,570329
570102,570148
570103,570577
570103,570104
570103,570197
570103,560221
570104,570756
570104,570491
570104,570106
570104,570098
570104,570289
570104,570103
570104,570577
570104,570654
570106,570104
570106,570104
570112,570102
570122,570102
570122,570102
570123,570577
570123,570551
570123,570703
570127,570228
570127,570228
570132,570654
570148,570598
570148,570102
570150,570654
570157,570181
570181,570556
570181,570157
570181,540960
570181,570577
570181,131418574
570182,233061794
570182,309736112
570182,570059
570182,570500582
570182,766723266
570182,958275306
570182,570577
570182,570347
570185,570502
570185,570577
570186,573455
570186,570673
570186,570400
570186,560221
570197,570103
570198,570317
570202,505948680
570202,573048
570205,104777482
570224,570475
570227,560221
570228,570127
570228,695542935
570228,573318
570228,570104
570229,570577
570248,570406
570248,570406
570255,570256
570258,570259
570259,540775
570259,540775
570262,570391
570274,570577
570274,570577
570289,570104
570293,560221
570299,560221
570310,570577
570314,570348
570315,570348
570315,570348
570316,107524051
570316,513030903
570316,206736898
570317,570198
570317,131418574
570318,287975074
570318,570479
570325,570654
